,1,13,14,8,9,10,7,30,2,6
0,s 3,,,,,,,s 4,,
1,,,,,,,,,,a 0
2,s 5,,,,,,,,,
3,,,,,,,s 6,,,
4,r 2,,,,,,,,,
5,,,,,,,,,,r 1
6,s 10,s 11,,,,,,,s 12,
7,,,,s 13,s 14,,,,,r 3
8,,,,r 6,r 6,s 15,,,,r 6
9,,,,r 8,r 8,r 8,,,,r 8
10,,,,r 10,r 10,r 10,,,,r 10
11,s 19,s 20,,,,,,,s 21,
12,,,,r 11,r 11,r 11,,,,r 11
13,s 10,s 11,,,,,,,s 12,
14,s 10,s 11,,,,,,,s 12,
15,s 10,s 11,,,,,,,s 12,
16,,,s 25,s 26,s 27,,,,,
17,,,r 6,r 6,r 6,s 28,,,,
18,,,r 8,r 8,r 8,r 8,,,,
19,,,r 10,r 10,r 10,r 10,,,,
20,s 19,s 20,,,,,,,s 21,
21,,,r 11,r 11,r 11,r 11,,,,
22,,,,r 4,r 4,s 15,,,,r 4
23,,,,r 5,r 5,s 15,,,,r 5
24,,,,r 7,r 7,r 7,,,,r 7
25,,,,r 9,r 9,r 9,,,,r 9
26,s 19,s 20,,,,,,,s 21,
27,s 19,s 20,,,,,,,s 21,
28,s 19,s 20,,,,,,,s 21,
29,,,s 33,s 26,s 27,,,,,
30,,,r 4,r 4,r 4,s 28,,,,
31,,,r 5,r 5,r 5,s 28,,,,
32,,,r 7,r 7,r 7,r 7,,,,
33,,,r 9,r 9,r 9,r 9,,,,
